,blockNumber,timestamp_iso8601,timestamp_unixtime,cashPrior,interestAccumulated,borrowIndex,totalBorrows
0,12852266,2021-07-18T18:42:01Z,1626633721,448436443359995395052668,418628116518063495,1070087849169543719,91226836936426639244382
0,12852100,2021-07-18T18:02:53Z,1626631373,448435732670762643967140,819592370369051458,1070082938675265387,91226418308310121180887
0,12851775,2021-07-18T16:50:10Z,1626627010,448151000052795832505979,12613485938810008,1070073324883246980,91225598715939752129429
0,12851770,2021-07-18T16:49:05Z,1626626945,448140984394787468234177,176590421399828286,1070073176927464537,91225586102453813319421
0,12851700,2021-07-18T16:32:00Z,1626625920,448141253066887394861119,814826946292638413,1070071105527528230,91225409512032413491135
0,12851377,2021-07-18T15:20:50Z,1626621650,448140575636887394861119,718956635513258053,1070061547633780239,91224594685086120852722
0,12851092,2021-07-18T14:18:29Z,1626617909,448139567010159805201913,90815544484611423,1070053114295679537,91223875728450607594669
0,12851056,2021-07-18T14:11:18Z,1626617478,448139557010159805201913,746695985354423815,1070052049032277536,91223784912906122983246
0,12850760,2021-07-18T13:04:33Z,1626613473,448139560175540631965076,456590908868572226,1070043290312499624,91223038216920768559431
0,12850579,2021-07-18T12:25:24Z,1626611124,448124397947615940235431,840029728676293760,1070037934515893829,91222581626011899987205
0,12850246,2021-07-18T11:08:13Z,1626606493,448124152652668115613059,983802209743911516,1070028080994322934,91221741596283223693445
0,12849856,2021-07-18T09:38:18Z,1626601098,448109708790493281365885,751729284538720448,1070016541026195280,91220757794073479781929
0,12849558,2021-07-18T08:29:25Z,1626596965,448099914999228684884378,426318228544239115,1070007723265980593,91220006064788941061481
0,12849389,2021-07-18T07:47:59Z,1626594479,448227573673466992750692,131154134444620834,1070002722566936708,91219579746560396822366
0,12849337,2021-07-18T07:37:17Z,1626593837,448218725386308114745989,100888708132992369,1070001184133178062,91219448592425952201532
0,12849297,2021-07-18T07:28:46Z,1626593326,448219226213763563356721,113499505292246482,1070000000711891991,91219347703717819209163
0,12849252,2021-07-18T07:17:39Z,1626592659,448217951808833017355254,15133286927799355,1069998669366362774,91219234204212526962681
0,12849246,2021-07-18T07:16:06Z,1626592566,448243286982390115291299,406061152874823718,1069998491853396160,91219219070925599163326
0,12849085,2021-07-18T06:36:29Z,1626590189,448243230999150115291299,27743297205682931,1069993728769195248,91218813009772724339608
0,12849074,2021-07-18T06:35:15Z,1626590115,448243132999150115291299,363182751032484417,1069993403341215581,91218785266475518656677
0,12848930,2021-07-18T06:01:07Z,1626588067,448238482129500256117342,360660450185520820,1069989143219282617,91218422083724486172260
0,12848787,2021-07-18T05:26:47Z,1626586007,448237930070060256117342,216900025183532341,1069984912683857077,91218061423274300651440
0,12848701,2021-07-18T05:06:40Z,1626584800,448237346483160256117342,5044189780841869,1069982368453571036,91217844523249117119099
0,12848699,2021-07-18T05:06:20Z,1626584780,448236998198042260722027,98361575678730363,1069982309285387916,91217839479059336277230
0,12848660,2021-07-18T04:58:11Z,1626584291,448236569628042260722027,166457660401353141,1069981155507283867,91217741117483657546867
0,12848594,2021-07-18T04:44:53Z,1626583493,448236436186882260722027,78184566003485708,1069979202964306620,91217574659823256193726
0,12848563,2021-07-18T04:39:10Z,1626583150,448236056186882260722027,484236074398277444,1069978285861874019,91217496475257252708018
0,12848371,2021-07-18T03:56:59Z,1626580619,448228907615378878100529,572507612150833739,1069972605788369945,91217012239182854430574
0,12848144,2021-07-18T03:08:27Z,1626577707,448228217802385768676238,872620353754796783,1069965890292580624,91216439731570703596835
0,12847798,2021-07-18T01:48:34Z,1626572914,448228217802385768676238,456482756519760396,1069955654484030759,91215567111216948800052
0,12847617,2021-07-18T01:10:02Z,1626570602,448225442802385768676238,35308156424347491,1069950299956048521,91215110628460429039656
0,12847603,2021-07-18T01:06:58Z,1626570418,448221442802385768676238,721289742035873960,1069949885792514685,91215075320304004692165
0,12847317,2021-07-17T23:57:08Z,1626566228,448221231324415768676238,156363129293503427,1069941425087149869,91214354030561968818205
0,12847255,2021-07-17T23:41:48Z,1626565308,448206231324415768676238,90793011999298048,1069939590952696302,91214197667432675314778
0,12847219,2021-07-17T23:30:52Z,1626564652,448206099150695768676238,206805601070239435,1069938525953599626,91214106874420676016730
0,12847137,2021-07-17T23:12:38Z,1626563558,448205099150695768676238,174019037229768142,1069936100130582221,91213900068819605777295
0,12847068,2021-07-17T22:57:08Z,1626562628,448205050150695768676238,131144492992448922,1069934058892899131,91213726049782376009153
0,12847016,2021-07-17T22:45:25Z,1626561925,448205050150695768676238,85748195574779276,1069932520572234407,91213594905289383560231
0,12846982,2021-07-17T22:39:04Z,1626561544,448204893445087546948290,73138088557680933,1069931514748671362,91213509157093808780955
0,12846953,2021-07-17T22:31:52Z,1626561112,448204522645225322438175,35308037215085382,1069930656841256118,91213436019005251100022
0,12846939,2021-07-17T22:28:29Z,1626560909,448203431491515322438175,25220049153004937,1069930242679120603,91213400710968036014640
0,12846929,2021-07-17T22:26:35Z,1626560795,448203083870395322438175,332902879172133485,1069929946848759052,91213375490918883009703
0,12846797,2021-07-17T22:01:44Z,1626559304,448202083870395322438175,237066521810776755,1069926041908744483,91213042588039710876218
0,12846703,2021-07-17T21:41:03Z,1626558063,448202668234851651502833,189148069062304773,1069923261126104706,91212805521517900099463
0,12846628,2021-07-17T21:23:52Z,1626557032,448176674889429538455582,25220530528916699,1069921042425367132,91212616373448837794690
0,12846618,2021-07-17T21:21:15Z,1626556875,448175669889429538455582,30264657913356528,1069920746589359057,91212591152918308877991
0,12846606,2021-07-17T21:19:04Z,1626556744,448123235288836757258205,25222149205424075,1069920391585899769,91212560888260395521463
0,12846596,2021-07-17T21:16:56Z,1626556616,448129959795113313525702,60532598747204203,1069920095730904671,91212535666111190097388
0,12846572,2021-07-17T21:09:54Z,1626556194,448129082995113313525702,47921652296855046,1069919385685477544,91212475133512442893185
0,12846553,2021-07-17T21:06:34Z,1626555994,448125815735823313525702,83232555503819399,1069918823566044743,91212427211860146038139
0,12846520,2021-07-17T20:58:46Z,1626555526,448121876446203313525702,30266513357544533,1069917847250858435,91212343979304642218740
0,12846508,2021-07-17T20:56:51Z,1626555411,448121625254053313525702,63055186918508000,1069917492225634847,91212313712791284674207
0,12846483,2021-07-17T20:51:10Z,1626555070,448120383837944942338490,527137369481954557,1069916752590329991,91212250657604366166207
0,12846274,2021-07-17T20:02:11Z,1626552131,448120153837944942338490,267350809909450293,1069910569286020987,91211723520234884211650
0,12846168,2021-07-17T19:38:17Z,1626550697,448120143309134942338490,153852418437145024,1069907433269660483,91211456169424974761357
0,12846107,2021-07-17T19:22:34Z,1626549754,448120143309134942338490,234560935255221871,1069905628585764125,91211302317006537616333
0,12846014,2021-07-17T19:03:54Z,1626548634,448119579049134942338490,95842010125284290,1069902877193573674,91211067756071282394462
0,12845976,2021-07-17T18:54:41Z,1626548081,448119536789343498828352,27743727931006192,1069901752969892144,91210971914061157110172
0,12845965,2021-07-17T18:52:30Z,1626547950,448118036789343498828352,37832400767101168,1069901427536860083,91210944170333226103980
0,12845950,2021-07-17T18:48:26Z,1626547706,448117241674731270206103,27743774180654234,1069900983764021681,91210906337932459002812
0,12845939,2021-07-17T18:47:33Z,1626547653,448102183674731270206103,633067193892966607,1069900658330447113,91210878594158278348578
0,12845688,2021-07-17T17:50:33Z,1626544233,448102120600351270206103,968501043169894944,1069893232472721006,91210245526964385381971
0,12845304,2021-07-17T16:24:34Z,1626539074,448075751099635395199577,809621064592764011,1069881871986782791,91209277025921215487027
0,12844983,2021-07-17T15:14:46Z,1626534886,448077084738400169031243,282482773111430045,1069872375157858906,91208467404856622723016
0,12844871,2021-07-17T14:52:18Z,1626533538,448071056551435927162746,50443679169758486,1069869061644059048,91208184922083511292971
0,12844851,2021-07-17T14:49:07Z,1626533347,448070970643015927162746,431290294880074478,1069868469941332530,91208134478404341534485
0,12844680,2021-07-17T14:09:38Z,1626530978,448070949643015927162746,706197749976707967,1069863410920111204,91207703188109461460007
0,12844400,2021-07-17T13:08:42Z,1626527322,448073390501046357472610,802025395646482392,1069855127243325528,91206996990359484752040
0,12844082,2021-07-17T11:48:43Z,1626522523,448070919511546357472610,12610497441254711,1069845719511352921,91206194964963838269648
0,12844077,2021-07-17T11:47:06Z,1626522426,448065490835914629018019,892815383362989752,1069845571590625458,91206182354466397014937
0,12843723,2021-07-17T10:26:12Z,1626517572,448065394305364629018019,413617784911480204,1069835098895030914,91205289539083034025185
0,12843559,2021-07-17T09:51:33Z,1626515493,448064380185620662816230,731388983259759943,1069830247171780413,91204875921298122544981
0,12843269,2021-07-17T08:49:44Z,1626511784,448062749782680690955547,330384832536883721,1069821668002642409,91204144532314862785038
0,12843138,2021-07-17T08:22:54Z,1626510174,448063758921265248248318,5044036600580328,1069817792599233498,91203814147482325901317
0,12843136,2021-07-17T08:22:18Z,1626510138,448063758921265248248318,365690347692033386,1069817733432847177,91203809103445725320989
0,12842991,2021-07-17T07:39:42Z,1626507582,448061612221265248248318,726329494893740465,1069813443896886432,91203443413098033287603
0,12842703,2021-07-17T06:31:05Z,1626503465,448061612221265248248318,98356949913956513,1069804924075383459,91202717083603139547138
0,12842664,2021-07-17T06:24:08Z,1626503048,448061200854035248248318,27741704463728579,1069803770351539481,91202618726653225590625
0,12842653,2021-07-17T06:21:29Z,1626502889,448062005474035248248318,910417115910283044,1069803444942242625,91202590984948761862046
0,12842292,2021-07-17T04:51:35Z,1626497495,448062400591574457486796,484206489264567548,1069792765778894120,91201680567832851579002
0,12842100,2021-07-17T04:07:47Z,1626494867,448055676191574457486796,264801385516786266,1069787086052422708,91201196361343587011454
0,12841995,2021-07-17T03:41:26Z,1626493286,448055478933644457486796,100876567081004391,1069783979940727942,91200931559958070225188
0,12841955,2021-07-17T03:31:42Z,1626492702,448044632933644457486796,60526677405787622,1069782796661856019,91200830683390989220797
0,12841931,2021-07-17T03:25:57Z,1626492357,448043414392974457486796,42873095159208464,1069782086685886035,91200770156713583433175
0,12841914,2021-07-17T03:21:59Z,1626492119,448043260330574457486796,1293730076961619873,1069781583785865309,91200727283618424224711
0,12841401,2021-07-17T01:32:53Z,1626485573,447972080330574457486796,60530573599294535,1069766408373870848,91199433553541462604838
0,12841377,2021-07-17T01:27:26Z,1626485246,447971845576324457486796,219422561890669523,1069765698352198640,91199373022967863310303
0,12841290,2021-07-17T01:07:49Z,1626484069,447961845576324457486796,587650141017109010,1069763124532638542,91199153600405972640780
0,12841057,2021-07-17T00:18:54Z,1626481134,447961172637964457486796,93317759965289048,1069756231415474967,91198565950264955531770
0,12841020,2021-07-17T00:11:14Z,1626480674,447961047637964457486796,90795530029822895,1069755136801166240,91198472632504990242722
0,12840984,2021-07-17T00:02:18Z,1626480138,447961007669444457486796,696090742054659737,1069754071772533147,91198381836974960419827
0,12840708,2021-07-16T22:57:55Z,1626476275,447964007823319804965175,191675826086978072,1069745906650623778,91197685746232905760090
0,12840632,2021-07-16T22:43:38Z,1626475418,447925007823319804965175,40354696581066212,1069743658299377992,91197494070406818782018
0,12840616,2021-07-16T22:40:14Z,1626475214,447924007823319804965175,456509468084604420,1069743184940091203,91197453715710237715806
0,12840435,2021-07-16T22:02:50Z,1626472970,447924195476337751262288,451461546587075888,1069737830098783172,91196997206242153111386
0,12840256,2021-07-16T21:26:33Z,1626470793,447918099535487751262288,60531543896822638,1069732534469431178,91196545744695566035498
0,12840232,2021-07-16T21:22:48Z,1626470568,447915599522987751262288,32788001037851405,1069731824436377412,91196485213151669212860
0,12840219,2021-07-16T21:19:48Z,1626470388,447848994012627751262288,524645888114818839,1069731439834184819,91196452425150631361455
0,12840011,2021-07-16T20:27:58Z,1626467278,447846824012627751262288,716336471312981612,1069725285754871737,91195927779262516542616
0,12839727,2021-07-16T19:20:08Z,1626463208,447846665099137751262288,30267728292428965,1069716883151212431,91195211442791203561004
