,blockNumber,timestamp_iso8601,timestamp_unixtime,liquidator,borrower,repayAmount,cTokenCollateral,seizeTokens
0,12769290,2021-07-05T19:06:28Z,1625511988,0x33339db7f070160840a3926f066626fb2759ba4c,0x9645c7802344a641eb8d33c5577d6c167d61ec82,5165515809016773589,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,6104480761
0,12655718,2021-06-18T02:17:59Z,1623982679,0xa769659e65b6624d754728136f06adb0b2a697ca,0xee939206d8bebd8d8d4e057641ac7a9c76c0b4cb,527136045993894795,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,811814689931
0,12467763,2021-05-19T23:26:47Z,1621466807,0x5af7f71c7747fb0eceb2eef115c3fa34dd4998d3,0x64766a072821dd9812da18c917f421edf9003ec2,14007209828150295134,0x39aa39c021dfbae8fac545936693ac917d5e7563,36467855359858
0,12426695,2021-05-13T14:58:13Z,1620917893,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0x996e90d4d81a8677cf95cb987a5eb0d2ade3aca5,2970028523182556191,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,15818809304
0,12425678,2021-05-13T11:09:09Z,1620904149,0xfffb2ab6f574dd3b2a9661cafb5e60208686ed63,0xee2826453a4fd5afeb7ceffeef3ffa2320081268,5486558493909385248814,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,29222337915083
0,12345353,2021-05-01T01:27:40Z,1619832460,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0x12a0cb5872d3de2495a6419d1c7c1fa174a1fb6d,524130764697778533,0x39aa39c021dfbae8fac545936693ac917d5e7563,1918078078016
0,12300110,2021-04-24T02:02:34Z,1619229754,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0xd5a14b616d2bdf5a0bbcbab339e8dee56b3b77e7,1280860957806577895,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,2006143449
0,11856089,2021-02-14T17:11:23Z,1613322683,0x333388b6bf358d441cde209f1d58db27f28446e1,0xee2826453a4fd5afeb7ceffeef3ffa2320081268,5861078742551517978519,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,31318147420178
0,11789856,2021-02-04T12:48:41Z,1612442921,0x8888a1cdbf7c9e60129e87954ed574183b045443,0x4918151bfa7ad842f6f941aaac4052b671580bdb,1294445387580926903941,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,80989404053
0,11767948,2021-02-01T03:27:12Z,1612150032,0x6780846518290724038e86c98a1e903888338875,0x4918151bfa7ad842f6f941aaac4052b671580bdb,496036210140087410287,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,29105437531
0,11755311,2021-01-30T05:08:37Z,1611983317,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,2347685733970633074,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,3034115658
0,11746563,2021-01-28T20:46:19Z,1611866779,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,4693346719278756288,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,5099286484
0,11710708,2021-01-23T08:21:29Z,1611390089,0x6780846518290724038e86c98a1e903888338875,0x4c6ab26af01b63b0c421f569c569d65bbb2b3a97,1395672333603392771136,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,1509751524934684
0,11678370,2021-01-18T09:13:49Z,1610961229,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0xee939206d8bebd8d8d4e057641ac7a9c76c0b4cb,999330214681362829,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,1190899111620
0,11670015,2021-01-17T02:29:02Z,1610850542,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,9349906499999999150,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8876614139
0,11660943,2021-01-15T16:58:08Z,1610729888,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0x6ed24fd70e14c7a7e56e204fbe77625fcbe1e351,1500227994171959481,0x39aa39c021dfbae8fac545936693ac917d5e7563,1483060790120
0,11658021,2021-01-15T06:24:05Z,1610691845,0x913f269a2ecda1caa34984ca1e335d61eb376f34,0xee939206d8bebd8d8d4e057641ac7a9c76c0b4cb,2016705815973013415,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,2165632345848
0,11448798,2020-12-14T04:00:25Z,1607918425,0x333310185792361609b6e1c345ce1475fd9f241d,0xb7992598ac932fe2626d68a79bbd099fc293828b,189637440638,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,254
0,11448023,2020-12-14T01:09:27Z,1607908167,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,308753805240,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,420
0,11441063,2020-12-12T23:23:23Z,1607815403,0x34666a344cd87e5269d57d083eb02d7c5c137302,0xe6ffd0fe4acce47d26887f474cde7bbf3a84d1fc,174772148046018334,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,240870410
0,11440781,2020-12-12T22:16:11Z,1607811371,0xd984dfbcc9e4e7cadfbaa1de53c978e9a08cde74,0xe6ffd0fe4acce47d26887f474cde7bbf3a84d1fc,151539338302062024,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,209055060
0,11437752,2020-12-12T11:08:48Z,1607771328,0x3333d60bfe913a852747f3cf4b176389b10eb555,0xe6ffd0fe4acce47d26887f474cde7bbf3a84d1fc,502998047071302215,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,732652867
0,11436320,2020-12-12T05:59:52Z,1607752792,0x4ec5df9537bdb3cd43a14bfbfc0af79446e37a25,0x4814be124d7fe3b240eb46061f7ddfab468fe122,808960402934725623,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,618678033861
0,11421141,2020-12-09T21:29:27Z,1607549367,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,1305196627387,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,2073
0,11413461,2020-12-08T17:28:17Z,1607448497,0x6780846518290724038e86c98a1e903888338875,0x4814be124d7fe3b240eb46061f7ddfab468fe122,1616084438485512098,0x39aa39c021dfbae8fac545936693ac917d5e7563,1461484927110
0,11412617,2020-12-08T14:13:49Z,1607436829,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,2214474827714,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,3409
0,11386413,2020-12-04T13:22:48Z,1607088168,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,4423820657913,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,5743
0,11361777,2020-11-30T18:34:28Z,1606761268,0x6780846518290724038e86c98a1e903888338875,0x3977f7178277035eb6363b0b94ce75aaa312fcc4,8367764252749947713,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,22022591610741
0,11350136,2020-11-28T23:46:30Z,1606607190,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,8834518993051,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,9677
0,11349811,2020-11-28T22:34:48Z,1606602888,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,15118805022736,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,16510
0,11333962,2020-11-26T12:19:27Z,1606393167,0x0000000094acb89a43eac2fbb3a07973efc2435c,0xced4df8eb3691facd180bf6d976cbab8483b3d5e,6420797073374941971,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,7268575239
0,11332119,2020-11-26T05:23:14Z,1606368194,0x6780846518290724038e86c98a1e903888338875,0xced4df8eb3691facd180bf6d976cbab8483b3d5e,9699902999999999433,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,11205056561
0,11283888,2020-11-18T19:43:58Z,1605728638,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,23175030192684,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,29978
0,11273444,2020-11-17T05:13:48Z,1605590028,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,35785161392338,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,53244
0,11258737,2020-11-14T23:00:06Z,1605394806,0x6780846518290724038e86c98a1e903888338875,0xbff32156e0c940662e6d430d79964a92862070f5,25061092484258325346,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,36463911292
0,11253009,2020-11-14T02:01:28Z,1605319288,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,62212368042998,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,84115
0,11245605,2020-11-12T22:45:24Z,1605221124,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,124380191145229,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,151033
0,11234997,2020-11-11T07:38:04Z,1605080284,0x6780846518290724038e86c98a1e903888338875,0x4814be124d7fe3b240eb46061f7ddfab468fe122,3207827963716019275,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,1891631075362
0,11233313,2020-11-11T01:25:22Z,1605057922,0x6780846518290724038e86c98a1e903888338875,0xbdeb184b2596e6e80306289eb4c52f1253ba720a,19469198081052240928,0xc11b1268c1a384e55c48c2391d8d480264a3a7f4,738118457
0,11223393,2020-11-09T12:51:01Z,1604926261,0x6780846518290724038e86c98a1e903888338875,0xbdeb184b2596e6e80306289eb4c52f1253ba720a,72999999999999997771,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,86847107199
0,11153406,2020-10-29T18:46:11Z,1603997171,0x6780846518290724038e86c98a1e903888338875,0x42829b066e3b3d7e5596e4baae86ac8a8d5e566d,8999999999999999497,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,12568583834
0,11137350,2020-10-27T07:54:37Z,1603785277,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xbff32156e0c940662e6d430d79964a92862070f5,31479698574021965164,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,47541824832
0,11136474,2020-10-27T04:46:01Z,1603773961,0x5ea500df65f2486655b57b691a626e6822a799e9,0x6ae21cd82f19a5a6bcd204932a40bd6943729dee,5994776144220070212,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8787904622
0,11136454,2020-10-27T04:42:25Z,1603773745,0xc799ce4b85580567a79e9c30f8b2f2e05b6f49f7,0x6ae21cd82f19a5a6bcd204932a40bd6943729dee,19950990061748546,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,29213885
0,11082036,2020-10-18T20:16:50Z,1603052210,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,158922603309771,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,246404
0,11078956,2020-10-18T08:55:14Z,1603011314,0x88886841cfccbf54adbbc0b6c9cbaceabec42b8b,0xb7992598ac932fe2626d68a79bbd099fc293828b,285000407257727,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,443288
